ნაკვეთის კოდი,ფართი (მ2),კოტეჯის ტიპი,კოტეჯის ფასი ($),მიწის ფასი ($),ჯამი (Turnkey) ($)
LA-1,702.4,Comfort Chalet,264000,35120,299120
LA-2,654.9,Comfort Chalet,264000,32745,296745
LA-3,683.2,Comfort Chalet,264000,34160,298160
LA-4,392.4,Alpine Studio,77000,19620,96620
LA-5,652.7,Comfort Chalet,264000,32635,296635
LA-6,491.7,Eco Cottage,187000,24585,211585
LA-7,558.9,Eco Cottage,187000,27945,214945
LA-8,557.8,Eco Cottage,187000,27889,214889
LA-9,561.5,Eco Cottage,187000,28075,215075
LA-10,591.5,Eco Cottage,187000,29575,216575
LA-11,740.3,Comfort Chalet,264000,37015,301015
LA-12,608.4,Comfort Chalet,264000,30420,294420
LA-13,953.6,LUX Grand Villa,440000,47680,487680
LA-14,609.8,Comfort Chalet,264000,30489,294489
LA-15,1084.1,LUX Grand Villa,440000,54204,494204
LA-16,580.2,Eco Cottage,187000,29010,216010
LA-17,503.7,Eco Cottage,187000,25185,212185
LA-18,567.2,Eco Cottage,187000,28360,215360
LA-19,413.4,Alpine 1 Bed,105000,20670,125670
LA-20,548.0,Eco Cottage,187000,27400,214400
LA-21,393.0,Alpine Studio,77000,19650,96650
LA-22,511.9,Eco Cottage,187000,25595,212595
LA-23,404.7,Alpine 1 Bed,105000,20235,125235
LA-24,457.2,Eco Cottage,187000,22860,209860
LA-25,485.3,Eco Cottage,187000,24265,211265
LA-26,381.9,Alpine Studio,77000,19095,96095
LA-27,479.7,Eco Cottage,187000,23985,210985
LA-28,283.2,Alpine Studio,77000,14160,91160
LA-29,652.9,Comfort Chalet,264000,32645,296645
LA-30,504.5,Eco Cottage,187000,25225,212225
LA-31,513.9,Eco Cottage,187000,25695,212695
LA-32,643.2,Comfort Chalet,264000,32160,296160
LA-33,451.8,Eco Cottage,187000,22590,209590
LA-34,538.8,Eco Cottage,187000,26939,213939
LA-35,509.0,Eco Cottage,187000,25450,212450
LA-36,376.0,Alpine Studio,77000,18800,95800
LA-37,464.4,Eco Cottage,187000,23220,210220
LA-38,359.3,Alpine Studio,77000,17965,94965
LA-39,425.4,Alpine 1 Bed,105000,21270,126270
LA-40,382.6,Alpine Studio,77000,19130,96130
LA-41,309.0,Alpine Studio,77000,15450,92450
LA-42,402.0,Alpine 1 Bed,105000,20100,125100
LA-43,470.5,Eco Cottage,187000,23525,210525
LA-44,409.7,Alpine 1 Bed,105000,20485,125485
LA-45,628.6,Comfort Chalet,264000,31430,295430
LA-46,406.0,Alpine 1 Bed,105000,20300,125300
LA-47,652.1,Comfort Chalet,264000,32605,296605
LA-48,406.3,Alpine 1 Bed,105000,20315,125315
LA-49,584.2,Eco Cottage,187000,29210,216210
LA-50,600.7,Comfort Chalet,264000,30035,294035
LA-51,443.3,Alpine 1 Bed,105000,22165,127165
LA-52,433.3,Alpine 1 Bed,105000,21665,126665
LA-53,348.6,Alpine Studio,77000,17430,94430
LA-54,426.8,Alpine 1 Bed,105000,21340,126340
LA-55,298.0,Alpine Studio,77000,14900,91900
LA-56,426.8,Alpine 1 Bed,105000,21340,126340
LA-57,366.0,Alpine Studio,77000,18300,95300
LA-58,426.8,Alpine 1 Bed,105000,21340,126340
LA-59,369.6,Alpine Studio,77000,18480,95480
LA-60,426.8,Alpine 1 Bed,105000,21340,126340
LA-61,385.3,Alpine Studio,77000,19265,96265
LA-62,426.8,Alpine 1 Bed,105000,21340,126340
LA-63,381.8,Alpine Studio,77000,19090,96090
LA-64,426.8,Alpine 1 Bed,105000,21340,126340
LA-65,336.7,Alpine Studio,77000,16835,93835
